,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4,8.794803619384766,0.5750179003275129,0.34780130386352537,0.03996356099974318,10,300,"{'max_depth': 10, 'n_estimators': 300}",0.8398893669330055,0.83819913952059,0.8424773321038881,0.8449362225295836,0.8421699708006762,0.8415344063775487,0.002310652028100009,1
5,14.32596983909607,0.3175871238649807,0.5430820465087891,0.020402500378057343,10,500,"{'max_depth': 10, 'n_estimators': 500}",0.8392747387830363,0.8380454824830977,0.843092054710312,0.8447825418779775,0.8418626094974643,0.8414114854703776,0.002461199288050045,2
3,3.0835878372192385,0.07081399108874384,0.1229018211364746,0.016469447084869037,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.8392747387830363,0.8395820528580209,0.8443214999231596,0.8437067773167358,0.8398647610265868,0.8413499659815079,0.0021919166102679763,3
8,31.102846145629883,1.0019764705924408,1.3571834087371826,0.04572861793521325,50,500,"{'max_depth': 50, 'n_estimators': 500}",0.8331284572833436,0.8228334357713584,0.8254187797756263,0.8341785769171661,0.8334101736591363,0.8297938846813262,0.004711938844601926,4
1,23.790069103240967,1.2896438502486656,0.9689021587371827,0.17881966627435122,,300,"{'max_depth': None, 'n_estimators': 300}",0.8345113706207744,0.8225261216963737,0.8255724604272322,0.8332564930075304,0.8329491317043184,0.8297631154912459,0.00479241028312264,5
7,18.562965440750123,0.10895280673291548,0.7909265518188476,0.014061156723087224,50,300,"{'max_depth': 50, 'n_estimators': 300}",0.8325138291333744,0.823140749846343,0.8272629475948978,0.8326417704011065,0.8326417704011065,0.8296402134753655,0.0038515133503157876,6
0,7.908324909210205,0.3442932016054896,0.36845788955688474,0.03906894713946538,,100,"{'max_depth': None, 'n_estimators': 100}",0.835279655808236,0.8228334357713584,0.8244966958659905,0.8329491317043184,0.8324880897495005,0.8296094017798807,0.0049728442213943565,7
2,34.48006100654602,1.8687632956251135,1.4708757400512695,0.1100460821990911,,500,"{'max_depth': None, 'n_estimators': 500}",0.8337430854333129,0.8219114935464045,0.8255724604272322,0.8335638543107423,0.8323344090978946,0.8294250605631174,0.00480698405413363,8
6,6.1994384765625,0.1722453389947889,0.2801208019256592,0.014784104726057908,50,100,"{'max_depth': 50, 'n_estimators': 100}",0.8326674861708666,0.8205285802089736,0.8254187797756263,0.8317196864914708,0.8331028123559244,0.8286874690005723,0.004935218983926731,9
